Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
Parkwoods,43.7532586,-79.3296565,Corrosion Service Company Limited,43.75243208667859,-79.33466148402658,Construction & Landscaping
Victoria Village,43.725882299999995,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
Victoria Village,43.725882299999995,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
Victoria Village,43.725882299999995,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
Victoria Village,43.725882299999995,-79.31557159999998,Eglinton Ave E & Sloane Ave/Bermondsey Rd,43.726086,-79.31362,Intersection
Victoria Village,43.725882299999995,-79.31557159999998,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Roots,43.71821373389962,-79.46389305304558,Boutique
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene,43.71894162758098,-79.46388005195001,Accessories Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,International Clothiers,43.717997,-79.46672,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Kitchen Stuff Plus,43.71908675341768,-79.46296954870189,Furniture / Home Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Urban Behavior,43.71889855313541,-79.46469467303574,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
Don Mills,43.745905799999996,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
Don Mills,43.745905799999996,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym
Don Mills,43.745905799999996,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
Don Mills,43.745905799999996,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
Glencairn,43.709577,-79.44507259999999,Miyako Sushi Restaurant,43.709111,-79.44393,Japanese Restaurant
Glencairn,43.709577,-79.44507259999999,Kokoro Sushi,43.7090306314996,-79.44405331675999,Sushi Restaurant
Glencairn,43.709577,-79.44507259999999,Li Cheng Restaurant,43.70882792296303,-79.44336647383521,Asian Restaurant
Glencairn,43.709577,-79.44507259999999,Pizza Nova,43.707503883344074,-79.44314118823905,Pizza Place
Glencairn,43.709577,-79.44507259999999,"Chalker's Pub, Billiards and Bistro",43.705746734874204,-79.44237750652644,Pub
Glencairn,43.709577,-79.44507259999999,Glencairn Subway Station,43.708872397351165,-79.44080107629773,Metro Station
Don Mills,43.72589970000001,-79.340923,Sorento Restaurant,43.72657509457231,-79.34198930569546,Italian Restaurant
Don Mills,43.72589970000001,-79.340923,Fitness Connection,43.72747286430573,-79.34170684305083,Gym
Don Mills,43.72589970000001,-79.340923,Oomomo,43.72642908913988,-79.34328336099873,Discount Store
Don Mills,43.72589970000001,-79.340923,Tilley Endurables,43.72703319748601,-79.34292634000684,Clothing Store
Don Mills,43.72589970000001,-79.340923,Swiss Chalet,43.726747353541775,-79.34162487001265,Restaurant
Don Mills,43.72589970000001,-79.340923,Skiis and Biikes,43.726350918006425,-79.34297712786963,Bike Shop
Don Mills,43.72589970000001,-79.340923,Just Hockey Source For Sports,43.72709513128194,-79.34259061584578,Sporting Goods Shop
Don Mills,43.72589970000001,-79.340923,Memories of Japan,43.727078,-79.340794,Japanese Restaurant
Don Mills,43.72589970000001,-79.340923,Japanese Canadian Cultural Centre,43.726429,-79.334971,Art Gallery
