City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Central,37.39,-113.63,Sunny's Pizza,37.339718458331234,-113.69114316779661,Café
Central,37.39,-113.63,Slice of Veyo,37.338264,-113.692769,Pizza Place
Enterprise,37.52,-113.75,Enterprise Senior Citizen Center,37.570952,-113.718693,Diner
Enterprise,37.52,-113.75,Marvs Burgers & Fries,37.573398614613865,-113.7103317672852,Burger Joint
Enterprise,37.52,-113.75,Verla's Country Cafe,37.57311,-113.70678,Restaurant
Glendale,37.38,-112.58,Buffalo Bistro,37.32294845581055,-112.59844207763672,Steakhouse
Glendale,37.38,-112.58,Canyon Bistro,37.32219970490793,-112.52661917992666,Mediterranean Restaurant
Ivins,37.18,-113.71,Xetava Gardens Cafe,37.18336571006609,-113.70670261988735,Café
Ivins,37.18,-113.71,Cafe Rio,37.146756,-113.660477,Tex-Mex Restaurant
Ivins,37.18,-113.71,Chef Hog’s Oyster Bar & Grill,37.1685907,-113.6794057,American Restaurant
Ivins,37.18,-113.71,Aragosta,37.158025023685624,-113.67408335208891,Restaurant
Ivins,37.18,-113.71,Chef Hog,37.190704345703125,-113.65849304199219,BBQ Joint
Ivins,37.18,-113.71,Canyon Breeze Restaurant,37.170317550325265,-113.65201634032506,American Restaurant
Ivins,37.18,-113.71,The Granary,37.132719,-113.656346,Café
La Verkin,37.23,-113.24,Stagecoach Grille,37.20313326482235,-113.27278040440314,American Restaurant
La Verkin,37.23,-113.24,Main Street Cafe,37.17434669590413,-113.28832951756992,Café
La Verkin,37.23,-113.24,Muddy Bees Bakery,37.175634,-113.298357,Bakery
La Verkin,37.23,-113.24,Alfredo's A Mexican Food,37.17683711299669,-113.29596231544384,Mexican Restaurant
La Verkin,37.23,-113.24,Lupita's Mexican Restaurant,37.176415999999996,-113.286829,Mexican Restaurant
La Verkin,37.23,-113.24,Papa Murphy's,37.1762994,-113.2987578,Pizza Place
La Verkin,37.23,-113.24,Domino's Pizza,37.1767947,-113.2958718,Pizza Place
La Verkin,37.23,-113.24,Subway,37.17630043519847,-113.29837270650329,Sandwich Place
La Verkin,37.23,-113.24,Little Caesars Pizza,37.176743,-113.294059,Pizza Place
La Verkin,37.23,-113.24,Arby's,37.2102,-113.27146699999999,Fast Food Restaurant
La Verkin,37.23,-113.24,Route 9 Pizza and Pastries,37.21021270751953,-113.27172088623047,Pizza Place
La Verkin,37.23,-113.24,Red Coyote,37.20325291156769,-113.1924444437027,Café
La Verkin,37.23,-113.24,China Buffet,37.176863,-113.29234299999999,Chinese Restaurant
